Membership No  Date Joined  Active  
    66516      2015-7-12    no    
    10575      2016-9-7     no    
    75468      2016-2-14    no    
    91098      2019-5-11    no    
    83980      2018-1-22    no    
    35968      2017-11-11   no    
    82692      2018-10-7    no    
    40486      2018-4-9     no    
    58643      2020-8-14    no    
    23952      2019-12-20   no    
    95345      2020-8-15    no    
    75588      2015-1-4     no    
    40793      2019-4-18    no    
    42022      2016-5-14    no    
    61201      2018-12-9    no    
    77422      2019-9-9     no    
