Membership No  Date Joined  Active  
    74011      2018-11-5    no    
    36753      2017-12-3    no    
    89468      2015-6-15    no    
    71537      2018-11-6    no    
    15699      2020-8-11    no    
    68002      2017-12-3    no    
    26945      2018-4-17    no    
    45425      2017-11-5    no    
    85641      2020-9-5     no    
    44188      2017-3-18    no    
    33493      2016-1-16    no    
    98726      2019-6-12    no    
    99349      2018-5-6     no    
    49892      2017-12-14   no    
    24006      2017-9-11    no    
